Symbol,TS2Vec Only_MAPE(%),TS2Vec Only_DirAcc(%),TS2Vec Only_MAE,Cross-Modal_MAPE(%),Cross-Modal_DirAcc(%),Cross-Modal_MAE,With News_MAPE(%),With News_DirAcc(%),With News_MAE
AAPL,2.2200,47.8000,6.2300,1.8000,65.2000,5.0600,1.9800,47.8000,5.5500
MSFT,8.3400,73.9000,17.9700,12.0500,73.9000,26.0200,12.0200,73.9000,25.9300
GOOGL,2.4800,87.0000,5.7800,5.2200,87.0000,12.1600,5.3800,87.0000,12.5300
AMZN,3.9500,34.8000,9.1500,4.9300,34.8000,11.4100,5.2900,39.1000,12.2500
META,10.3300,17.4000,32.8500,10.0700,17.4000,32.0100,10.5400,17.4000,33.5300
NVDA,5.5000,91.3000,2.2100,4.1900,100.0000,1.6900,4.1900,100.0000,1.6700
AMD,3.5400,82.6000,22.5700,2.7100,82.6000,17.3000,2.7300,82.6000,17.4600
INTC,2.2800,82.6000,11.1100,2.5400,82.6000,12.4100,2.8500,82.6000,13.9000
CRM,3.6500,65.2000,6.5700,4.1600,73.9000,7.4900,3.9000,69.6000,7.0200
ORCL,6.6900,47.8000,13.5200,9.2300,52.2000,18.6400,9.4900,52.2000,19.1800
